SITE ID,TOTAL RENTAL (RM),TOTAL PAYMENT TO PAY (RM),DEPOSIT (RM),EXP DATE
KL001,"RM 15,000.00","RM 8,500.00","RM 30,000.00",15/12/2024
PJ002,"RM 12,500.00","RM 6,250.00","RM 25,000.00",28/02/2025
SB003,"RM 18,000.00","RM 9,000.00","RM 36,000.00",10/11/2024
KL004,"RM 22,000.00","RM 11,000.00","RM 44,000.00",05/09/2025
JB005,"RM 9,800.00","RM 4,900.00","RM 19,600.00",20/09/2024
PG006,"RM 14,500.00",,"RM 29,000.00",18/10/2024
KT007,"RM 11,200.00","RM 5,600.00","RM 22,400.00",25/01/2025
ML008,"RM 16,800.00","RM 8,400.00","RM 33,600.00",12/03/2025
KL009,,"RM 7,500.00","RM 30,000.00",08/07/2024
SB010,"RM 13,750.00","RM 6,875.00","RM 27,500.00",30/12/2024
PJ011,"RM 19,500.00","RM 9,750.00","RM 39,000.00",15/04/2025
KL012,"RM 17,200.00","RM 8,600.00","RM 34,400.00",22/06/2025
JB013,"RM 10,500.00","RM 5,250.00","RM 21,000.00",14/11/2024
PG014,"RM 20,800.00","RM 10,400.00","RM 41,600.00",03/05/2025
KT015,"RM 12,900.00","RM 6,450.00","RM 25,800.00",27/08/2025
